Nome,Tipo,Elemento,Custo de Mana,Resistência,Combate,Efeito / Habilidade,Prompt de Arte,Custo de Habilidade,Carta Criada
Rei Arthur,Herói,Vento,3,16,18,Uma vez por turno ganha +4 de Combate neste turno.,"A noble legendary king in ornate silver plate armor and a flowing crimson cape, raising the glowing sword Excalibur overhead as wind swirls around him atop a windswept cliff, heroic and determined. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Beowulf,Herói,Terra,2,18,16,Uma vez por turno recupera 4 pontos de Resistência.,"A hulking Nordic warrior hero with a braided beard and rune-carved armor, standing firm on a rocky earthen battlefield, his wounds closing as vigorous green energy wraps around his muscular frame. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Odisseu,Herói,Água,3,14,14,Uma vez por turno anula a próxima Maldição do oponente.,"A cunning Greek hero in bronze armor standing at the prow of a ship on a stormy sea, a sly knowing smirk on his face as faint arcane light swirls in the water around him. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Sigurd,Herói,Vento,3,15,17,"Uma vez por turno prepara um bônus: se atacar um Monstro antes do fim do turno, dobra o dano desse ataque.","A fierce Norse dragon-slayer hero clad in scaled armor, gripping a massive rune-etched sword as wind howls around him, standing triumphant over a fallen monstrous beast. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Joana d'Arc,Herói,Fogo,4,17,12,Uma vez por turno cura totalmente o seu combatente em campo.,"A radiant armored maiden warrior wreathed in holy flames, banner and glowing sword raised high, golden healing fire pouring from her outstretched hand onto a wounded ally. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",3.0,Sim
Gilgamesh,Herói,Terra,3,19,15,Uma vez por turno compra 1 carta do Baralho Arcano.,"A powerful ancient Mesopotamian king-hero in golden ornate armor, standing regal before a mountain of glittering earthen treasure and ancient relics. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Aquiles,Herói,Vento,2,15,19,"Uma vez por turno ataca duas vezes, com o dano de cada ataque reduzido à metade. Conta como o ataque do turno.","A swift Greek warrior hero in gleaming bronze armor, caught mid-motion in a blur of two simultaneous spear strikes, wind trailing behind his impossibly fast movement. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Atalanta,Herói,Vento,2,12,16,"Uma vez por turno causa 5 de dano direto ao oponente, ignorando combate.","A lithe huntress hero drawing back a glowing arrow atop a windswept ridge, hair and cloak whipping in the gale, one eye closed in deadly focus. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Cu Chulainn,Herói,Terra,3,16,17,"Uma vez por turno: se for derrotado atacando antes do fim do turno, o combatente ativo do oponente também é destruído.","A berserking Celtic warrior hero wreathed in battle-fury, glowing veins and cracked earth beneath his feet, mid battle-cry as he prepares a final devastating blow. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Merlin,Herói,Água,1,10,10,Uma vez por turno olha as 3 cartas do topo do seu Baralho Arcano.,"An ancient wise wizard hero gazing into a swirling pool of water that reveals visions of the future, his staff glowing with pale blue light amid curling mist. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Cthulhu,Monstro,Água,4,20,16,Uma vez por turno o oponente descarta 2 cartas aleatórias da mão.,"A colossal eldritch god-monster rising from the black depths of the ocean, a tentacled face and leathery wings blotting out the moon, waves of madness rippling outward. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Fenrir,Monstro,Fogo,3,18,19,"Uma vez por turno destrói a carta de Domínio ativa no campo, seja de quem for.","A massive monstrous wolf wreathed in flame, jaws wide open devouring a shattered magical rune-stone, embers scattering into the night sky. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Jörmungandr,Monstro,Água,3,19,15,"Uma vez por turno causa 3 de dano ao combatente ativo do oponente, e mais 3 no início de cada turno do dono dele até ele ser destruído.","A gigantic venomous sea serpent coiling around a stormy ocean horizon, dripping glowing poisonous ichor into the churning water. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Tífon,Monstro,Vento,4,17,18,Uma vez por turno retorna o combatente ativo do oponente para o Panteão dele.,"A towering primordial storm-monster made of writhing serpentine limbs and hurricane winds, hurling an enemy combatant back through a swirling vortex. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",3.0,Sim
Shoggoth,Monstro,Terra,2,19,12,Uma vez por turno ignora a vantagem elemental do oponente contra este combatente até o fim do turno.,"An amorphous shapeshifting horror oozing across a cracked earthen cavern floor, countless eyes and mouths forming and dissolving across its shifting mass. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Surtur,Monstro,Fogo,5,16,20,"Uma vez por turno causa 10 de dano a todos os combatentes ativos em campo, incluindo o seu.","A colossal fire giant monster wielding a molten flaming sword, standing amid an apocalyptic volcanic battlefield as fiery meteors rain down on the entire battlefield. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",3.0,Sim
Wendigo,Monstro,Vento,2,14,16,Uma vez por turno rouba até 2 de Mana do oponente.,"A gaunt antlered monster stalking through a frozen windswept forest, a clawed hand reaching out to drain glowing motes of stolen magical energy. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",1.0,Sim
Nyarlathotep,Monstro,Água,3,15,14,Uma vez por turno revela as Maldições viradas para baixo do oponente e destrói uma escolhida.,"A shadowy many-faced eldritch monster emerging from rippling dark water, surrounded by floating cursed sigils, one of which cracks and shatters under its will. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
Minotauro,Monstro,Terra,2,18,15,Uma vez por turno impede o combatente ativo do oponente de usar a própria Habilidade neste turno.,"A massive bull-headed monster standing in a labyrinth of ancient stone walls, muscular arms crossed as it blocks all magic from passing through the maze. Epic high fantasy concept art, official Magic The Gathering card art style, intricate details, 8k resolution, trending on ArtStation, painted by Greg Rutkowski and Tyler Jacobson.",2.0,Sim
